Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Scandaroon PDF,Downloadable PDF,"The easiest way to play with colors? Knit Berroco Scandaroon with two strands of different colors held together to make a one-of-a-kind look! Choose high contrasting shades for a bold look, or more tonal shades for a subtle effect. Berroco Vintage will quickly become your go-to yarn of choice for any project! Available in a beautiful selection of solids and heathers, this worsed and machine washable yarn is a great one to have in your stash due to its versatility!",Berroco Design Team,Knitting,Beginner,N/A,Fall/Winter,"Bust: 38 (42, 46, 50, 54, 58, 62)""
Length: 20 (20, 21, 22½, 22½, 23, 24)""
Shown in size 50"". Suggested ease: 2–4"" positive ease.","Berroco Vintage:  3 (4, 4, 4, 5, 5, 6) hanks each
#51136 Aurora (Contrast Color 1) and #5109 Storm (Contrast Color 2)","29"" and 16"" length circular needles, sizes 10 (6.00 mm) and 13 (9.00 mm)
1 set each double-pointed needles, sizes 10 (6.00 mm) and 13 (9.00 mm)","12 sts and 16 rows = 4"" in St st on larger needles with two strands held together",Worsted,50% Acrylic/40% Wool/10% Nylon
Cumulet PDF,Downloadable PDF,"Berroco Cumulet is a knitted accessory set is next level with two-color brioche knitting! The knitted cowl is long enough to drape beautifully or wrap around for extra coziness, and the hat knitting pattern matches perfectly!",Alison Green,Knitting,Advanced,N/A,Fall/Winter,"Cowl circumference: Approximately 60""
Cowl width: Approximately 8""
Hat circumference (at band): 18""
Hat length: 9""","1 hank of Berroco Vintage each:

#51130 Tangerine (Contrast Color 1) and #5101 Mochi (Contrast Color 2) for Hat and 1 hank each for Cowl (2 hanks each color for the set)","For Cowl: 32"" circular needle, size 8 (5.00 mm) or size to obtain gauge
For Hat: 16"" circular needle and double-pointed needles, size 7 (4.50 mm) or size to obtain gauge
16"" circular needle, size 6 (4.00 mm)
For both: St markers notions","Cowl: 11 sts and 20 rnds = 4"" in basic brioche pattern (after blocking) with largest needle
Hat: 15 sts and 20 rnds = 4"" in basic brioche pattern (after blocking)
with middle-sized needle",Worsted,50% Acrylic/40% Wool/10% Nylon
Carneau PDF,Downloadable PDF,"Whether you choose bright and cheery colors or more conservative colors, the Berroco Carneau hat and mittens set is sure to delight! A traditional stranded colorwork stitch pattern is worked into both the knitted hat and mittens for a coordinated accessory set, perfect for gift knitting!",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Hat: Approximately 20"" around and 9½"" long
Mittens: Approximately 8"" around and 9½"" long","1 hank of Berroco Vintage each:

#5106 Smoke (Contrast Color 1) and #51131 Citrus (Contrast Color 2) for the set","For Hat: 16"" circular needles, sizes 3 (3.25 mm) and 5 (3.75 mm) or size to obtain gauge
1 stitch marker
For Mittens: 1 set (4) double-pointed needles (dpns), size 3 (3.25 mm)
3 stitch markers (1 a different color for beg-of-rnd)
Waste yarn to hold thumb stitches
For Both: 1 set (4) double-pointed needles (dpns), size 5 (3.75 mm)
Tapestry needle","24 sts and 26 rnds = 4"" in St st over charts on larger needles",Worsted,50% Acrylic/40% Wool/10% Nylon
Korina Pullover PDF,Downloadable PDF,Beroco Korina Pullover is knit together in Berroco's popular machine-washable yarn - Vintage. Classic raglan sleeve shaping forms the shoulders of the this top-down sweater. An easy texture pattern at the bottom and generous turtleneck collar add interest. ,Cecily Glowik MacDonald,Knitting,Intermediate,N/A,Fall/Winter,"31½ (35, 38¾, 42, 45½, 49¼, 53, 56½, 59¾)"" bust","5 (6, 6, 7, 7, 8, 8, 9, 9) skeins Berroco Vintage (shown in #5109)","US 7 16"" circular, 29"" circular, and a set of dpns; US 6 16"" circular needle","19 sts and 24 rows = 4"" in stockinette stitch on larger needles",Worsted,50% Acrylic/40% Wool/10% Nylon
Dagny Cowl PDF,Downloadable PDF,"Mixing garter stitch with a chic herringbone pattern, this cowl is knit flat and seamed for easy knitting. Knit up in Berroco Vintage - which will quickly become your go-to yarn of choice for any project! Available in a beautiful selection of solids and heathers, this worsed and machine washable yarn is a great one to have in your stash due to its versatility!",Cecily Glowik MacDonald,Knitting,Beginner,N/A,Fall/Winter,"9” wide, 54” circumference",2 hanks of Berroco Vintage: shown in #5116 Dove (Main Color) and 1 hank #5101 Mochi (Contrast Color),"Straight knitting needles, sizes 8 (5.00 mm) and 7 (4.50 mm)
Tapestry needle",18 sts = 4”; 28 rows = 4” in Garter Stitch on larger needles,Worsted,50% Acrylic/40% Wool/10% Nylon
Arcadia Poncho PDF,Downloadable PDF,"Berroco's Arcadia Poncho is the perfect fall knitting project worked in a garter stitch in the round from the top down. Knit with Berroco Vintage, a machine-washable worsted weight yarn, you'll love it.",Melissa LaBarre,Knitting,Intermediate,N/A,Fall/Winter,"60½ (68¼, 75¾)” around at lower edge x 21 (22, 23)” long (not including cowl)","6 (6, 7) hanks Berroco Vintage, shown in #5177","US 7 (4.5mm) 24"" and 36"" circulars","19 sts and 24 rows = 4"" in stockinette stitch; 19 sts and 36 rows = 4"" in garter stitch",Worsted,50% Acrylic/40% Wool/10% Nylon
Port PDF,Downloadable PDF,Berroco Port is a raglan cardigan knit inthe classic worsted weight Berroco Vintage yarn. Port features a zip front and patch pockets.,Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Chest (closed) – 34(38-42-46-50-54-58)""

Length – 27(27½-28-28½-29-29½-30)""","5(5-6-6-7-8-8) hanks Berroco Vintage, shown in #5105 Oats","US 6 (4.00mm) straights
US 8 (5.00 mm) straights",18 sts and 24 rows = 4” in stockinette stitch on larger needles,Worsted,50% Acrylic/40% Wool/10% Nylon
Peary PDF,Downloadable PDF,"Berroco Peary is a sporty vest with a simple, knit-purl texture at the shoulder inspired by Guernsey fishermen’s sweaters. The body is worked in pieces and seamed, and the fronts are finished with an applied I-cord and sewn-in zipper.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Chest (closed) – 34(38-42-46-50-54-58)""

Length – 27½(28-28½-29-29½-30-30½)""","4(5-5-6-6-7-7) hanks Berroco Vintage, shown in #5176 Pumpkin","US 5 (3.75mm) straights and Double Pointed Needles
US 7 (4.50mm) straights and 16"" circular",20 sts and 27 rows = 4” in stockinette stitch on larger needles,Worsted,50% Acrylic/40% Wool/10% Nylon
Ketch PDF,Downloadable PDF,"Berroco Ketch is wonderfully warm pullover with a shawl collar and a one button closure. Knit flat in pieces from the bottom up and seamed, Ketch calls for Berroco Vintage, a soft wool and acrylic blend yarn that comes in a wide range of colors and is easy to care for. ",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Chest – 36 (40, 44, 48, 52, 56, 60)”
Length – 27 (27½, 28, 28½, 29, 29½, 30)”","6 (7, 8, 9, 10, 10, 11) hanks Berroco Vintage, shown in #5130 Taupe","US 6 (4.00mm) straights 
US 8 (5.00mm) straights",18 sts and 24 rows = 4” in stockinette stitch on larger needles,Worsted,50% Acrylic/40% Wool/10% Nylon
Jib PDF,Downloadable PDF,"Berroco Jib is a classic cabled hat knit seamlessly in the round from brim to crown. Knit with Berroco Vintage, you'll have plenty of colors to choose from and can make one for everyone in the family!",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Circumference – approx. 17” (unstretched)
Height – 8½” ","1 hank Berroco Vintage, shown in #5106 Smoke","US 6 (4.00mm) 16"" circular 
US 7 (4.50mm) 16"" circular and double pointed needles",26 sts and 32 rnds = 4” in charted pattern on larger needles,Worsted,50% Acrylic/40% Wool/10% Nylon
Vintage Men #366 E-Book,eBook,"Berroco Vintage Men is a classic collection of men's knitwear. This ebook contains twelve designs ranging from sweaters, vests and accessories. Knit using Berroco Vintage, Vintage DK and Vintage Chunky, pick from the huge selection of colors and you're good to go!",Berroco Design Team,Knitting,Beginner - Advanced,12,Fall/Winter,N/A,Berroco Vintage,N/A,N/A,Worsted,50% Acrylic/40% Wool/10% Nylon
Fidelia PDF,Downloadable PDF,"
Indulge your dreames of the ultimate cabled cardigan with this knitting pattern! Berroco Fidelia is knit from the bottom up, beginning with the sleeves.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Bust (closed)—32 (36, 40, 44, 48, 52, 56, 60)""
Length—23½ (24, 24, 24½, 25, 25, 25½, 26)""","4 (5, 5, 6, 6, 7, 8, 8) hanks Berroco Ultra Alpaca Natural","US 6 (4.00mm) 29” circular and double pointed needles
US 8 (5.00mm) 29” circular and double pointed needles","20 sts and 26 rows = 4” in reverse stockinette stitch on US 8 (5.00mm)
11 sts = 1¾” in chart A on US 8 (5.00mm)
22 sts = 3¼” in charts C and D on US 8 (5.00mm)
27 sts = 6½” in chart E on US 8 (5.00mm)",Worsted,50% Alpaca / 50% Wool
Florine PDF,Downloadable PDF,"Berroco Florine is a cozy scarf featuring Gansey-inspired knit-and-purl textures using Ultra Alpaca Natural. Knitting begins at one edge and works to the desired length from stitch pattern with just a few cables. Fringe is added in finishing. Gentle heathering is the natural outcome of blending these delicious fibers together allowing you to create beautiful sweaters, scarves, and more.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,One Size; 11” wide and 64” long (not including fringe),4 hanks Berroco Ultra Alpaca Natural,US 8 (5.00mm),24 sts and 28 rows = 4” in charted pattern,Worsted,50% Alpaca / 50% Wool
Lucienne PDF,Downloadable PDF,"Berroco Lucienne is a triangular shawl knit up in Ultra Alpaca Natural. Striped modular knitting begins at the bottom point, and once the length is reached, the right and left sides are worked separately out to their points, before finishing with a solid row at the top. Tri-colored tassels complete this shawl knitting pattern. Ultra Alpaca Natural allows you to enjoy the beauty of the wool and alpaca. Gentle heathering is the natural outcome of blending these delicious fibers together enabling you to create beautiful sweaters, scarves, and more.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter/Spring,56” across top edge and 28” down center (not including tassels),"Berroco Ultra Alpaca Natural in:

Color 1 – 1 hank shown in 62500 Jasmine Rice
Color 2 – 1 hank shown in 62506 Rye
Color 3 – 1 hank shown in 62503 Farro",US 8 (5.00mm) 29” circular,18 sts and 28 rows = 4” in garter stitch after blocking,Worsted,50% Alpaca / 50% Wool
Chaparral PDF,Downloadable PDF,"Berroco Chaparral is a cozy and beautiful cardigan featuring an allover cable pattern that gives it lovely texture. Knit in Berroco Ultra Alpaca, the body of this cardigan is knit flat from the bottom up in one piece. It divides at the armholes – the back will be knit to the depth of the armhole; the fronts are continued on and joined with a 3-needle bind off at center of back. Sleeves are picked up around armholes and worked down in the round. ",Amy Miller,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Bust – 38¼ (42½, 46¼, 49¾, 53½, 57¼, 61)”
Length – 28¼ (29¾, 31¼, 32¾, 34¼, 35¾, 37¼)”","6 (7, 7, 8, 9, 9, 10) hanks Berroco Ultra Alpaca, shown in #62188 Lunar Mix","US 6 (4.00mm) 29"" circular and double pointed needles
US 8 (5.00mm) 29"" circular and double pointed needles","26 sts and 26 rows = 4” in cable pattern on larger needle
20 sts and 26 rows = 4” in stockinette stitch on larger needle",Worsted,50% Alpaca/ 50% Wool
Gorse PDF,Downloadable PDF,"Berroco Gorse is gorgeous lace-front cardigan that is knit seamlessly with a unique construction. The back is completed to the underarms first, then the sleeves are knit in the round from the bottom up. The yoke and fronts are all worked together, picking up stitches from one side of the back, working up and around the back neck, and then down the other side. Using Berroco Ultra Alpaca, your cardigan will be soft, cozy, and warm.",Bristol Ivy,Knitting,Advanced,N/A,Fall/Winter/Spring,"Bust – 33½ (37, 39, 42½, 45, 48, 52, 56)”
Length – 24¼ (25¼, 25¾, 26¾, 27, 27¼, 28½, 29¼)”","5 (5, 6, 6, 6, 7, 7, 8) hanks Berroco Ultra Alpaca, shown in #62173 Forest Mix","US 5 (3.75mm) 36"" or longer circular and double pointed needles
   US 6 (4.00mm) 36"" or longer circular and double pointed needles","20 sts and 30 rows = 4” in lace pattern on larger needles
19 sts and 30 rows = 4” in stockinette stitch on larger needles",Worsted,50% Alpaca/ 50% Wool
Helen PDF,Downloadable PDF,Berroco Helen is a beautiful pullover that's worked seamlessly from the top down in the round. This sweater is knit using soft and cozy Berroco Ultra Alpaca and has a hybrid yoke that combines round-yoke and raglan shaping with Bohus-inspired stranded colorwork.,Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Bust – 33¾ (38¾, 42¼, 47, 51½)""
Length – 23½ (24, 24¾, 25¼, 26½)"" ","Berroco Ultra Alpaca Natural in:

Main Color – 5 (5, 6, 7, 8) hanks, shown in #6299 Lichen Mix 
Contrast Color 1 – 1 hank, shown in #62189 Barley
Contrast Color 2 – 1 hank, shown in #6292 Tiger’s Eye Mix
Contrast Color 3 – 1 hank, shown in #62168 Candy Floss Mix ","US 6 (4.00mm) 16"" and 24"" circulars and double pointed needles
US 8 (5.00mm) 16"" and 24"" circulars and double pointed needles","18 sts and 24 rnds = 4"" in stockinette stitch",Worsted,50% Alpaca/ 50% Wool
Rustling Leaves PDF,Downloadable PDF,"Rustling Leaves is designed with a combination of twisted stitches and garter stitch to create a beautiful, cozy poncho that is perfect for layering during the chilly, changing seasons. Knit using Berroco Ultra Alpaca it's worked in one piece in the round from the bottom up. ",Margaux Hufnagel,Knitting,Intermediate,N/A,Fall/Winter,"approximately 44"" around bust and arm (28"" around cowl) and 27"" long (including cowl)","5 hanks Berroco Ultra Alpac, shown in #62168 Candy Floss","US 8 (5.00mm) 20"" and 40"" circulars","18 sts and 32 rnds = 4"" in garter stitch",Worsted,50% Alpaca/ 50% Wool
Rye PDF,Downloadable PDF,"Berroco Rye is a timeless cardigan from the bottom up with lovely textured panels flatteringly placed on the sleeves and the body. Berroco Ultra Alpaca is used to knit this gorgeous sweater, ensuring that it will be cozy and warm. The body of Rye is knit in one piece to the underarms, where the knit in the round sleeves join to work the raglan yoke.",Thea Colman,Knitting,Intermediate,N/A,Fall/Winter,"Bust (closed) – 36 (40, 44, 48, 52, 56, 60)”
Length – 19 (20, 21, 22, 23½, 24½, 25)”","4 (5, 6, 6, 7, 7, 8) hanks Berroco Ultra Alpaca, shown in #6275 Pea Soup Mix","US 7 (4.50mm) 16"" circular
     US 8 (5.00mm) 16"" and 29"" circulars and double pointed needles","22 sts and 24 rows = 4” over each Bramble St panel on larger needles 
18 sts and 24 rows = 4” in stockinette stitch on larger needles",Worsted,50% Alpaca/ 50% Wool
Greenwood Shawl PDF,Downloadable PDF,"Greenwood is an asymmetrical shawl knit from the widest point to narrowest. Worked in Berroco's Ultra Alpaca, the varying stitch patterns evoke the idea of Victorian knitting samplers. Please note that the stitch pattern is charted only.",Martha Wissing,Knitting,Intermediate,N/A,Fall/Winter,"80"" long, 36"" at wide end, 5"" at narrow end","6 skeins Berroco Ultra Alpaca, shown in #62189","US 8 29"" circular","18 sts and 24 rows = 4"" in stockinette stitch",Worsted,50% Alpaca/ 50% Wool
Hoehne Vest PDF,Downloadable PDF,"The Hoehne Vest by Courtney Spainhower is knit in Berroco's classic alpaca and wool blend, Ultra Alpaca. The two front pieces are worked in a stunning lace pattern before joining to form the back, and an I-cord belt sets off this layering piece. The lace pattern for this design is both charted and written out. ",Courtney Spainhower,Knitting,Intermediate,N/A,Fall/Winter/Spring,"38 (41, 43½, 46, 52½, 56)"" bust (closed)","3 (3, 4, 5, 6, 6) skeins Berroco Ultra Alpaca, shown in #6299","US 8 16"" and 24"" circular needles","19 sts and 24 rows = 4"" in stockinette stitch and in lace pattern",Worsted,50% Alpaca/ 50% Wool
Marguerite Hat PDF,Downloadable PDF,"Worked from the bottom up with a twisted rib brim, the Marguerite Hat is a classic colorwork beanie. Knit in Berroco's immensely popular Ultra Alpaca, this hat provides both comfort and warmth.",Beatrice Perron Dahlen,Knitting,Intermediate,N/A,Winter,"18 (21½)"" around",Berroco Ultra Alpaca 1 hank #6201 (Main Cokor); 1 hank #6297 (Contrast Color),"US 8 (5mm) 16"" circular needles and set of double pointed needles","20 sts and 23 rows = 4"" in stockinette stitch over colorwork pattern",Worsted,50% Alpaca/ 50% Wool
Mended Pullover PDF,Downloadable PDF,"The Mended Pullover is a seamless, bottom-up sweater that combines raglan decreases with circular yoke shaping for the perfect shoulder fit. The simple, stylish colorwork pulls inspiration from the visible-mending movement. Knit using Berroco's Ultra Alpaca, this sweater will stand the test of time. ",Beatrice Perron Dahlen,Knitting,Intermediate,N/A,Winter,"32 (36, 40, 44, 48, 52, 56)” bust","Berroco Ultra Alpaca 4 (5, 5, 6, 7, 7, 8) hanks of Main Color; 1 hank Contrast Color","US 8 (5mm) 29"" circular needles, 16"" circular needles, and one set of double pointed needles","20 sts and 26 rows = 4"" in stockinette stitch",Worsted,50% Alpaca/ 50% Wool
Romaine PDF,Downloadable PDF,"Berroco Romaine is a cozy pullover that is an ideal layering piece for winter! Knit in Ultra Alpaca Natural from the bottom up with curving hems, the body of this slipover top is worked in one piece after joining the hems. The short sleeves make it great for wearing under coats, while the deep shawl-collar will help keep out any chilly breezes.",Amy Christoffers,Knitting,Intermediate,N/A,Fall/Winter,"Bust – 46½ (51, 55, 59)""
Length – 22 (23, 24, 25)” down front (back is 4” longer)","4 (5, 5, 6) hanks Berroco Ultra Alpaca Natural, shown in #62502 Wild Rice","US 6 (4.00mm) 16” & 29” circular and double pointed needles
US 8 (5.00mm) 29” circular and spare needle",19 sts and 26 rows = 4” in stockinette stitch on US 8 (5.00mm),Worsted,50% Alpaca/ 50% Wool
Addilyn Capelet PDF,Downloadable PDF,"The Addilyn Capelet by Elizabeth Smith is knit in Berroco's Ultra Alpaca Chunky, a lush alpaca and wool blend yarn. Dropped stitches set into garter stitch create a unique texture pattern in a simple, top-down capelet.",Elizabeth Smith,Knitting,Beginner,N/A,Fall/Winter/Spring,"Available Sizes: XS/S (M/L, 1X/2X, 3X/4X)
To Fit Bust Size: 30–36 (38–44, 46–52, 54–60)

Finished at 42 (48, 54, 60)” circumference at bottom; 16¼ (17½, 18¼, 19½)” length","3 (3, 3, 4) hanks Berroco Ultra Alpaca Chunky","US 10.5 (6.5mm) 24"" circular",12 sts and 20 rows = 4” in Garter Drop Stitch Pattern,Bulky,50% Alpaca/ 50% Wool
Wood & Steel PDF,Downloadable PDF,The Wood & Steel Blanket & Pillow from Berroco is a cozy home décor set worked in Ultra Alpaca Chunky for quick cables and texture. The stitch patterns for these projects are both charted and written out.,Alicia Plummer,Knitting,Intermediate,N/A,All Seasons,"41"" x 45"" for blanket; 18"" x 18"" for pillow","Blanket: 8 hanks Ultra Alpaca Chunky, shown in #7201
Pillow: 3 hanks Ultra Alpaca Chunky, shown in #7206","US 10 32"" inch circular","14 sts and 20 rows = 4"" in stockinette stitch; 19 sts and 20 rows = 4"" in Knotted Wood pattern",Bulky,50% Alpaca/ 50% Wool
Etruscan PDF,Downloadable PDF,"An oversized scarf, Berroco Etruscan will keep you warm on even the coldest of days! Knit in the soft and cozy Berroco Ultra Alpaca Chunky, the gorgeous cable pattern will keep it in style for years. Scarf is knit flat from one end to the other with generous ribbing at each end.",Amy Miller,Knitting,Intermediate,N/A,Winter,"Width – approx. 13”
Length – 75” ","6 hanks Berroco Ultra Alpaca Chunky, shown in #7236 Chianti","US 8 (5.00mm) straights
US 10 (6.00mm) straights","21 sts and 18 rows = 4” in cable pattern on larger needles
14 sts and 20 rows = 4” in stockinette stitch on larger needles",Bulky,50% Alpaca/ 50% Wool
